judul_proposal,deskripsi
GANESHA HEJO: Program Pengelolaan Sampah Terintegrasi di Kawasan Ganesha,Teknologi Informasi
Pengembangan Penguat RF Pita Lebar Derau Rendah untuk Aplikasi Software Defined Radar,Teknik Telekomunikasi
Peningkatan Produksi Benih Kentang Berkualitas Secara Aeroponik dengan Kontrol Elektronik dan Surfactan,Elektronika
Desain dan Implementasi Block Cipher BC4,Elektronika
IMPLEMENTASI ALGORITMA EFISIEN UNTUK ELLIPTIC CURVE CRYPTOGRAPHY BERBASIS COMPOSITE FIELD DENGAN NORMAL BASIS,Teknik Komputer
Peningkatan Kapasitas Sistem Selular CDMA Menggunakan Metoda Deteksi Multi User,Teknik Telekomunikasi
Rekayasa Komunikasi Millimeter Wave Band pada Frekuensi 60 GHz Sebagai Infrastruktur Transmisi Backbone Wireless Giga Bit (WiGig),Teknik Telekomunikasi
PENYEDERHANAAN KOMPLEKSITAS METRIK CENTRALITY UNTUK LARGE-SCALE SOCIAL NETWORK DI BIDANG ILMU MANAJEMEN,Teknik Komputer
Pengembangan Collaborative Learning System Berbasis Komputasi Awan (Development of Collaborative Learning System on the Cloud),Teknologi Informasi
Implementasi Korelator Presisi Tinggi dan Filter Moving Target Indicator untuk Perangkat Pulsed Radar Menggunakan Floating Point Arithmetic pada Field Programmable Gate Array,Teknik Telekomunikasi
Smart Shopping Using NFC,Elektronika
Pengembangan Sistem Fleet Management Berbasis TIK                                                     Untuk Meningkatkan Produktivitas Nelayan Tangkap,Elektronika
Pengembangan Perangkat Digital Signage dengan   Konsumsi Daya Rendah dan Ukuran yang Kompak,Teknologi Informasi
PENINGKATAN LAJU DAN KAPASITAS KOMUNIKASI DATA NIRKABEL NON LINE OF SIGHT (NLOS) PADA MOBILITAS TINGGI,Teknik Telekomunikasi
Pengembangan Kendali Arah Gerak Mobil Listrik Dengan Methoda Sinkronisasi Kecepatan Roda Penggerak,Sistem Kendali dan Komputer
Optimalisasi Bandwidth Internet di Instansi Pemerintah Melalui Pengukuran Produktivitas Penggunaannya   (Studi Kasus di Kampus ITB-Bandung),Rekayasa Perangkat Lunak dan Data
PROSESOR CONSTANT FALSE ALARM RATE FLOATING POINT PRESISI TINGGI PADA PENGOLAH SINYAL PULSED RADAR BERBASIS FIELD PROGRAMMABLE GATE ARRAY,Teknik Telekomunikasi
SOA Quality Assessment Framework,Rekayasa Perangkat Lunak dan Data
Penerapan GOAL-ORIENTED REQUIREMENT ANALYSIS(GORA) untuk Meningkatkan Keberhasilan Pengembangan Sistem Informasi di Instansi Pemerintah,Rekayasa Perangkat Lunak dan Data
Pembuatan Struktur Bahan Berpori untuk Pendinginan Komponen dan Perangkat Elektronika,Elektronika
Analisis Perambatan Gelombang Elektromagnetik yang Diradiasikan oleh Partial Discharge pada Sistem Berisolasi Gas Tiga Fasa,Teknik Ketenagalistrikan
